no_nodes
113

Node, X-Coordinate, Y-Coordinate
0,-11696235,3279925
1,-11696234,3279913
2,-11696235,3279749
3,-11696033,3279911
4,-11695971,3279882
5,-11695974,3279911
6,-11695809,3279911
7,-11695769,3279802
8,-11695858,3279883
9,-11695833,3279815
10,-11695968,3279828
11,-11695872,3279841
12,-11695607,3279834
13,-11695489,3279834
14,-11695726,3279825
15,-11695607,3279729
16,-11695488,3279495
17,-11695966,3279782
18,-11695731,3279748
19,-11696014,3279749
20,-11696236,3279640
21,-11696234,3279682
22,-11695726,3279649
23,-11695880,3279495
24,-11695726,3279617
25,-11696235,3279569
26,-11695726,3279575
27,-11695736,3279495
28,-11696014,3279495
29,-11696235,3279495
30,-11695641,3279271
31,-11695641,3279495
32,-11695761,3279431
33,-11696232,3279383
34,-11695878,3279383
35,-11696129,3279495
36,-11695762,3279271
37,-11696229,3279271
38,-11695879,3279271
39,-11696112,3279272
40,-11695993,3279271
41,-11695506,3279271
42,-11696074,3279058
43,-11695879,3279019
44,-11695639,3279019
45,-11695505,3279020
46,-11696036,3279060
47,-11695762,3279021
48,-11696230,3279160
49,-11696229,3279047
50,-11696003,3279019
51,-11696105,3279019
52,-11696229,3279018
53,-11695476,3279020
54,-11695767,3278765
55,-11695476,3278983
56,-11696072,3278979
57,-11696034,3278980
58,-11695878,3278765
59,-11695641,3278766
60,-11696230,3278937
61,-11695995,3278895
62,-11696111,3278765
63,-11696230,3278766
64,-11695988,3278782
65,-11695994,3278766
66,-11695623,3278580
67,-11695995,3278670
68,-11696231,3278582
69,-11695905,3278695
70,-11695934,3278766
71,-11695775,3278583
72,-11695525,3278581
73,-11695525,3278702
74,-11696108,3278669
75,-11695995,3278581
76,-11695775,3278497
77,-11696231,3278496
78,-11695665,3278581
79,-11695995,3278496
80,-11695537,3278411
81,-11695455,3278579
82,-11695621,3278409
83,-11695454,3278423
84,-11695775,3278412
85,-11695995,3278413
86,-11696230,3278408
87,-11695454,3278255
88,-11695995,3278337
89,-11696112,3278412
90,-11696112,3278040
91,-11695775,3278337
92,-11695538,3278255
93,-11695622,3278273
94,-11696230,3278065
95,-11695995,3278262
96,-11695774,3278263
97,-11695686,3278278
98,-11695626,3278184
99,-11695776,3278094
100,-11695995,3278191
101,-11695862,3278187
102,-11695994,3278124
103,-11695862,3278128
104,-11695698,3278187
105,-11695621,3278116
106,-11695994,3278040
107,-11695782,3278039
108,-11696230,3278040
109,-11695832,3278039
110,-11695899,3278040
111,-11695583,3278040
112,-11695532,3278040

no_edges
153

Node Adjacency List
Node 1, Node 2,
1,0,
2,1,
2,19,
3,1,
3,5,
4,5,
4,8,
5,6,
7,6,
7,14,
9,8,
10,4,
10,11,
12,13,
14,12,
15,12,
16,13,
17,10,
17,9,
18,14,
18,7,
19,7,
20,19,
20,21,
21,2,
22,18,
23,22,
23,27,
24,22,
25,20,
26,24,
27,26,
27,31,
28,25,
28,23,
29,25,
29,35,
30,31,
30,41,
31,16,
32,27,
33,29,
33,34,
34,23,
35,28,
36,32,
36,30,
37,33,
37,39,
38,34,
38,36,
40,39,
40,38,
42,39,
42,46,
43,38,
43,47,
44,30,
44,47,
44,45,
45,41,
45,53,
46,40,
47,36,
48,37,
49,48,
50,46,
50,43,
51,42,
52,49,
52,51,
54,47,
54,59,
55,53,
56,51,
56,57,
57,50,
58,43,
58,70,
58,54,
59,44,
60,52,
61,57,
62,56,
62,63,
62,65,
63,60,
64,61,
65,61,
65,64,
65,70,
66,59,
66,78,
66,72,
67,65,
68,63,
69,70,
71,54,
72,73,
74,67,
75,67,
75,71,
75,68,
76,71,
77,68,
77,79,
79,75,
79,76,
80,72,
80,83,
81,72,
82,66,
82,84,
82,80,
83,81,
84,76,
84,85,
85,79,
86,77,
86,89,
87,83,
88,85,
88,91,
89,85,
90,89,
90,106,
91,84,
92,80,
92,87,
93,82,
93,97,
94,86,
95,88,
95,96,
96,91,
98,93,
98,104,
99,96,
100,95,
101,100,
102,100,
102,103,
103,101,
105,98,
106,102,
106,110,
107,99,
107,111,
108,94,
108,90,
109,110,
109,107,
111,112,
