no_nodes
151

Node, X-Coordinate, Y-Coordinate
0,-11725059,3279964
1,-11725085,3280051
2,-11724664,3279948
3,-11724692,3280040
4,-11724874,3279999
5,-11724479,3279987
6,-11725633,3279933
7,-11725662,3280026
8,-11725833,3279990
9,-11725448,3279973
10,-11725268,3280012
11,-11725241,3279919
12,-11724844,3279907
13,-11725791,3279897
14,-11724452,3279894
15,-11725421,3279879
16,-11725029,3279866
17,-11724635,3279853
18,-11725768,3279902
19,-11725606,3279841
20,-11725212,3279827
21,-11724817,3279814
22,-11725766,3279897
23,-11725814,3279892
24,-11725789,3279892
25,-11725739,3279814
26,-11724424,3279804
27,-11725394,3279787
28,-11725001,3279773
29,-11724607,3279761
30,-11725594,3279805
31,-11725183,3279734
32,-11724790,3279719
33,-11725703,3279720
34,-11725592,3279798
35,-11724397,3279712
36,-11725635,3279787
37,-11725576,3279748
38,-11725366,3279693
39,-11724971,3279680
40,-11724580,3279672
41,-11725548,3279654
42,-11724393,3279701
43,-11725156,3279643
44,-11725718,3279716
45,-11725665,3279630
46,-11724761,3279633
47,-11724363,3279606
48,-11724576,3279661
49,-11725490,3279667
50,-11725339,3279608
51,-11724945,3279593
52,-11724546,3279567
53,-11724757,3279621
54,-11725522,3279566
55,-11725126,3279553
56,-11725658,3279610
57,-11724730,3279527
58,-11724941,3279580
59,-11725633,3279541
60,-11725678,3279605
61,-11725308,3279513
62,-11724334,3279514
63,-11725123,3279541
64,-11724912,3279486
65,-11724517,3279474
66,-11725492,3279471
67,-11725094,3279449
68,-11725644,3279538
69,-11725305,3279501
70,-11725600,3279447
71,-11724700,3279430
72,-11724305,3279421
73,-11725456,3279479
74,-11725453,3279468
75,-11725273,3279404
76,-11724882,3279391
77,-11724488,3279382
78,-11725580,3279439
79,-11725489,3279460
80,-11725459,3279363
81,-11725065,3279352
82,-11725594,3279347
83,-11725595,3279436
84,-11725573,3279339
85,-11724670,3279338
86,-11724278,3279335
87,-11725247,3279310
88,-11724853,3279298
89,-11724463,3279294
90,-11725430,3279269
91,-11725034,3279262
92,-11725551,3279244
93,-11724646,3279255
94,-11724250,3279238
95,-11725220,3279219
96,-11724826,3279215
97,-11724637,3279257
98,-11724448,3279249
99,-11725518,3279251
100,-11725377,3279094
101,-11725011,3279174
102,-11724623,3279210
103,-11725503,3279206
104,-11724433,3279198
105,-11725536,3279171
106,-11724189,3279043
107,-11725193,3279137
108,-11725355,3279191
109,-11724805,3279156
110,-11724903,3279199
111,-11725479,3279211
112,-11724613,3279173
113,-11725495,3279180
114,-11724849,3279145
115,-11724987,3279179
116,-11724416,3279150
117,-11725487,3279155
118,-11725007,3279101
119,-11724610,3279165
120,-11725531,3279146
121,-11724457,3279144
122,-11725466,3279160
123,-11725441,3279078
124,-11724846,3279134
125,-11725510,3279150
126,-11724407,3279124
127,-11724448,3279146
128,-11725514,3279060
129,-11725175,3279085
130,-11725265,3279120
131,-11725006,3279093
132,-11724214,3279025
133,-11725260,3279104
134,-11725039,3279065
135,-11725057,3279110
136,-11725317,3279093
137,-11725360,3279042
138,-11725291,3278986
139,-11725037,3279058
140,-11725334,3279090
141,-11725347,3279073
142,-11725467,3279071
143,-11725451,3279021
144,-11725493,3278969
145,-11724210,3279030
146,-11725346,3278999
147,-11725442,3278980
148,-11725338,3278971
149,-11725460,3278977
150,-11725453,3278949

no_edges
233

Node Adjacency List
Node 1, Node 2,
0,1,
0,4,
2,3,
2,5,
4,3,
6,7,
6,9,
8,7,
9,10,
11,10,
11,0,
12,4,
12,2,
13,8,
14,5,
15,9,
15,11,
16,0,
16,12,
17,2,
17,14,
18,6,
19,6,
19,15,
20,11,
20,16,
21,12,
21,17,
22,18,
23,13,
24,13,
24,22,
25,22,
