node,edge,d_nodetoedge
1,1,0
1,2,169.51696080333673
1,3,0
1,4,169.51696080333673
1,5,381.03055374714734
1,6,169.51696080333673
1,7,1450.7916514946535
1,8,381.03055374714734
1,9,381.03055374714734
1,10,465.23269148723085
1,11,465.23269148723085
1,12,1260.245069263431
1,13,492.74632447162605
1,14,492.74632447162605
1,15,497.21846042662565
1,16,497.21846042662565
1,17,539.3188485604061
1,18,497.21846042662565
1,19,517.4669171579422
1,20,539.3188485604061
1,21,543.4419541860237
1,22,632.1368556054457
1,23,639.4887043055353
1,24,632.1368556054457
1,25,519.8458774245952
1,26,517.4669171579422
1,27,639.4887043055353
1,28,647.7349155567706
1,29,734.2692903825053
1,30,711.1824976212749
1,31,738.8748525887131
1,32,738.8748525887131
1,33,805.3579331430917
1,34,805.3579331430917
1,35,881.3184492024235
1,36,881.3184492024235
1,37,1231.4527091656553
1,38,530.151310182997
1,39,808.9017230106865
1,40,711.1824976212749
1,41,565.6196058849334
1,42,974.7261576637706
1,43,992.1733500657858
1,44,974.7261576637706
1,45,1231.4527091656553
1,46,1272.3061055972862
1,47,992.1733500657858
1,48,1147.6322051689067
1,49,1147.6322051689067
1,50,1067.7745321793955
1,51,1324.8608389711699
1,52,1202.937396901922
1,53,1056.8081995316304
1,54,1007.3309320242186
1,55,1202.937396901922
1,56,1087.4466411813971
1,57,754.2992285260655
1,58,754.2992285260655
1,59,1087.4466411813971
1,60,1090.0497398088198
1,61,864.1946333435554
1,62,864.1946333435554
1,63,1416.6213969468056
1,64,1007.3309320242186
1,65,1045.183392520265
1,66,1056.8081995316304
1,67,1295.985771417547
1,68,1461.9314399836423
1,69,1090.0497398088198
1,70,1215.8021140172953
1,71,946.8323971080717
1,72,946.8323971080717
1,73,936.6615053269434
1,74,1177.411058480186
1,75,1272.810885272252
1,76,1177.411058480186
1,77,1508.7502396265209
1,78,1296.091301149301
1,79,1296.091301149301
1,80,1358.93869727279
1,81,1045.183392520265
1,82,1604.3849613545626
1,83,1191.0634802635893
1,84,1129.4923481536969
1,85,1480.503494808919
1,86,1731.034082946463
1,87,1787.2297571341396
2,1,0
2,2,0
2,3,169.51696080333673
2,4,0
2,5,211.51359294381058
2,6,0
2,7,1281.2746906913167
2,8,211.51359294381058
2,9,211.51359294381058
2,10,295.7157306838941
2,11,295.7157306838941
2,12,1090.7281084600943
2,13,323.2293636682893
2,14,323.2293636682893
2,15,327.7014996232889
2,16,327.7014996232889
2,17,369.8018877570694
2,18,327.7014996232889
2,19,347.9499563546055
2,20,369.8018877570694
2,21,373.92499338268703
2,22,462.61989480210894
2,23,469.9717435021986
2,24,462.61989480210894
2,25,350.32891662125843
2,26,347.9499563546055
2,27,469.9717435021986
2,28,478.2179547534339
2,29,564.7523295791686
2,30,541.6655368179382
2,31,569.3578917853763
2,32,569.3578917853763
2,33,635.8409723397549
2,34,635.8409723397549
2,35,711.8014883990867
2,36,711.8014883990867
2,37,1061.9357483623185
2,38,360.63434937966025
2,39,639.3847622073498
2,40,541.6655368179382
2,41,396.1026450815966
2,42,805.2091968604337
2,43,822.656389262449
2,44,805.2091968604337
2,45,1061.9357483623185
2,46,1102.7891447939494
2,47,822.656389262449
2,48,978.11524436557
2,49,978.11524436557
2,50,898.2575713760586
2,51,1155.343878167833
2,52,1033.4204360985852
2,53,887.2912387282937
2,54,837.8139712208817
2,55,1033.4204360985852
2,56,917.9296803780602
2,57,584.7822677227286
2,58,584.7822677227286
2,59,917.9296803780602
2,60,920.532779005483
2,61,694.6776725402186
2,62,694.6776725402186
2,63,1247.1044361434688
2,64,837.8139712208817
2,65,875.6664317169281
2,66,887.2912387282937
2,67,1126.4688106142103
2,68,1292.4144791803055
2,69,920.532779005483
2,70,1046.2851532139584
2,71,777.3154363047349
2,72,777.3154363047349
2,73,767.1445445236066
2,74,1007.8940976768492
2,75,1103.2939244689153
2,76,1007.8940976768492
2,77,1339.233278823184
2,78,1126.5743403459642
2,79,1126.5743403459642
2,80,1189.4217364694532
2,81,875.6664317169281
2,82,1434.8680005512258
2,83,1021.5465194602524
2,84,959.97538735036
2,85,1310.9865340055821
2,86,1561.5171221431262
2,87,1617.7127963308026
3,1,39.05124837953327
3,2,208.56820918287
3,3,0
3,4,208.56820918287
3,5,420.0818021266806
3,6,208.56820918287
3,7,1489.8428998741867
3,8,420.0818021266806
3,9,420.0818021266806
3,10,504.2839398667641
3,11,504.2839398667641
3,12,1299.2963176429644
3,13,531.7975728511593
3,14,531.7975728511593
3,15,536.2697088061589
3,16,536.2697088061589
3,17,578.3700969399393
3,18,536.2697088061589
3,19,556.5181655374754
3,20,578.3700969399393
3,21,582.493202565557
3,22,671.188103984979
3,23,678.5399526850686
3,24,671.188103984979
3,25,558.8971258041283
3,26,556.5181655374754
3,27,678.5399526850686
3,28,686.7861639363039
3,29,773.3205387620386
3,30,750.2337460008082
3,31,777.9261009682464
3,32,777.9261009682464
3,33,844.409181522625
3,34,844.409181522625
3,35,920.3696975819568
3,36,920.3696975819568
3,37,1270.5039575451885
3,38,569.2025585625303
3,39,847.9529713902198
3,40,750.2337460008082
3,41,604.6708542644667
3,42,1013.7774060433038
3,43,1031.224598445319
3,44,1013.7774060433038
3,45,1270.5039575451885
3,46,1311.3573539768195
3,47,1031.224598445319
3,48,1186.68345354844
3,49,1186.68345354844
3,50,1106.8257805589287
3,51,1363.9120873507031
3,52,1241.9886452814553
3,53,1095.8594479111637
3,54,1046.3821804037518
3,55,1241.9886452814553
3,56,1126.4978895609304
3,57,793.3504769055987
3,58,793.3504769055987
3,59,1126.4978895609304
3,60,1129.100988188353
3,61,903.2458817230887
3,62,903.2458817230887
3,63,1455.6726453263389
3,64,1046.3821804037518
3,65,1084.2346408997983
3,66,1095.8594479111637
3,67,1335.0370197970803
3,68,1500.9826883631756
3,69,1129.100988188353
3,70,1254.8533623968285
3,71,985.883645487605
3,72,985.883645487605
3,73,975.7127537064766
3,74,1216.4623068597193
3,75,1311.8621336517854
3,76,1216.4623068597193
3,77,1547.8014880060541
3,78,1335.1425495288343
3,79,1335.1425495288343
3,80,1397.9899456523233
3,81,1084.2346408997983
3,82,1643.4362097340959
3,83,1230.1147286431226
3,84,1168.5435965332301
3,85,1519.5547431884522
3,86,1770.0853313259963
3,87,1826.2810055136729
4,1,155.43809056984713
4,2,0
4,3,324.9550513731839
4,4,155.43809056984713
4,5,366.9516835136577
4,6,155.43809056984713
4,7,1436.7127812611639
4,8,366.9516835136577
4,9,366.9516835136577
4,10,451.1538212537412
4,11,451.1538212537412
4,12,1246.1661990299415
4,13,478.66745423813643
4,14,478.66745423813643
4,15,483.13959019313603
4,16,483.13959019313603
4,17,525.2399783269165
4,18,483.13959019313603
4,19,503.3880469244526
4,20,525.2399783269165
4,21,529.3630839525341
4,22,618.0579853719561
4,23,625.4098340720457
4,24,618.0579853719561
4,25,505.76700719110556
4,26,503.3880469244526
4,27,625.4098340720457
4,28,633.656045323281
4,29,720.1904201490157
4,30,697.1036273877853
4,31,724.7959823552235
4,32,724.7959823552235
4,33,791.2790629096021
4,34,791.2790629096021
4,35,867.2395789689339
4,36,867.2395789689339
4,37,1217.3738389321657
4,38,516.0724399495074
4,39,794.8228527771969
4,40,697.1036273877853
4,41,551.5407356514438
4,42,960.6472874302809
4,43,978.0944798322962
4,44,960.6472874302809
4,45,1217.3738389321657
4,46,1258.2272353637966
4,47,978.0944798322962
4,48,1133.553334935417
4,49,1133.553334935417
4,50,1053.6956619459058
4,51,1310.7819687376802
4,52,1188.8585266684324
4,53,1042.7293292981408
4,54,993.2520617907289
4,55,1188.8585266684324
4,56,1073.3677709479075
4,57,740.2203582925758
4,58,740.2203582925758
4,59,1073.3677709479075
4,60,1075.9708695753302
4,61,850.1157631100658
4,62,850.1157631100658
4,63,1402.542526713316
4,64,993.2520617907289
4,65,1031.1045222867754
4,66,1042.7293292981408
4,67,1281.9069011840575
4,68,1447.8525697501527
4,69,1075.9708695753302
4,70,1201.7232437838056
4,71,932.7535268745821
4,72,932.7535268745821
4,73,922.5826350934537
4,74,1163.3321882466964
4,75,1258.7320150387625
4,76,1163.3321882466964
4,77,1494.6713693930312
4,78,1282.0124309158114
4,79,1282.0124309158114
4,80,1344.8598270393004
4,81,1031.1045222867754
4,82,1590.306091121073
4,83,1176.9846100300997
4,84,1115.4134779202072
4,85,1466.4246245754293
4,86,1716.9552127129734
