no_nodes
149

Node, X-Coordinate, Y-Coordinate
0,-11724084,3279976
1,-11724104,3280039
2,-11724298,3280028
3,-11724271,3279939
4,-11724056,3279882
5,-11724243,3279841
6,-11724039,3279831
7,-11724213,3279752
8,-11724028,3279793
9,-11724170,3279761
10,-11724026,3279782
11,-11724081,3279770
12,-11724013,3279743
13,-11724207,3279742
14,-11723995,3279686
15,-11724181,3279647
16,-11723967,3279593
17,-11724153,3279557
18,-11723938,3279502
19,-11724124,3279463
20,-11723910,3279394
21,-11724093,3279357
22,-11723861,3279234
23,-11724001,3279375
24,-11723952,3279214
25,-11724183,3279342
26,-11724045,3279193
27,-11724131,3279176
28,-11723806,3279055
29,-11723989,3279014
30,-11724098,3279062
31,-11724076,3278992
32,-11723748,3278874
33,-11724138,3278961
34,-11723932,3278833
35,-11724067,3278963
36,-11724127,3278950
37,-11724020,3278814
38,-11724130,3278949
39,-11723475,3278935
40,-11723384,3278955
41,-11723372,3278944
42,-11724072,3278802
43,-11723380,3278938
44,-11723362,3278911
45,-11723448,3278866
46,-11723567,3278914
47,-11723505,3278719
48,-11723658,3278895
49,-11723367,3278753
50,-11723345,3278891
51,-11723598,3278699
52,-11723381,3278839
53,-11723326,3278883
54,-11723309,3278876
55,-11723365,3278812
56,-11723293,3278869
57,-11723350,3278806
58,-11723840,3278852
59,-11723730,3278815
60,-11723332,3278800
61,-11723253,3278782
62,-11723460,3278730
63,-11723779,3278658
64,-11723873,3278638
65,-11723718,3278775
66,-11723970,3278617
67,-11724015,3278623
68,-11723302,3278740
69,-11723236,3278720
70,-11723687,3278678
71,-11723365,3278735
72,-11723384,3278672
73,-11723401,3278488
74,-11723245,3278657
75,-11723534,3278712
76,-11723282,3278639
77,-11723354,3278698
78,-11723480,3278486
79,-11723609,3278696
80,-11723311,3278601
81,-11723271,3278583
82,-11723556,3278483
83,-11723631,3278483
84,-11723760,3278662
85,-11723363,3278572
86,-11723400,3278635
87,-11723728,3278471
88,-11723832,3278646
89,-11723204,3278607
90,-11723797,3278455
91,-11723249,3278601
92,-11723905,3278630
93,-11723393,3278568
94,-11723873,3278438
95,-11723992,3278577
96,-11723953,3278431
97,-11723257,3278474
98,-11723288,3278570
99,-11723980,3278430
100,-11723353,3278507
101,-11723382,3278505
102,-11723308,3278496
103,-11723355,3278492
104,-11723379,3278490
105,-11723360,3278364
106,-11723291,3278490
107,-11723373,3278414
108,-11723340,3278359
109,-11723273,3278479
110,-11723437,3278242
111,-11723516,3278252
112,-11723665,3278275
113,-11723591,3278261
114,-11723317,3278354
115,-11723293,3278353
116,-11723688,3278273
117,-11723763,3278255
118,-11723953,3278419
119,-11723835,3278241
120,-11723925,3278217
121,-11723908,3278226
122,-11723385,3278368
123,-11723361,3278294
124,-11723343,3278295
125,-11723323,3278297
126,-11723285,3278280
127,-11723324,3278290
128,-11723473,3278075
129,-11723658,3278123
130,-11723564,3278113
131,-11723494,3278093
132,-11723759,3278098
133,-11723906,3278220
134,-11723823,3278068
135,-11723838,3278055
136,-11723643,3278054
137,-11723819,3278062
138,-11723597,3277995
139,-11723587,3277970
140,-11723641,3277987
141,-11723651,3277966
142,-11723624,3277987
143,-11723623,3277965
144,-11723612,3277966
145,-11723597,3277969
146,-11723608,3277943
147,-11723638,3277964
148,-11723619,3277942

no_edges
221

Node Adjacency List
Node 1, Node 2,
0,1,
3,2,
3,0,
4,0,
5,3,
5,4,
6,4,
7,5,
7,9,
8,6,
9,8,
10,8,
11,10,
12,10,
13,11,
13,7,
14,12,
15,13,
15,14,
16,14,
17,15,
17,16,
18,16,
19,17,
19,18,
20,18,
21,19,
21,23,
22,20,
23,20,
24,23,
24,22,
25,21,
26,21,
26,24,
27,25,
27,26,
28,22,
29,26,
30,27,
31,30,
31,29,
32,28,
32,48,
34,29,
34,58,
35,31,
36,35,
37,35,
37,34,
38,33,
38,36,
39,40,
41,40,
42,38,
43,41,
44,41,
45,43,
45,39,
46,39,
47,46,
47,62,
48,46,
49,44,
50,44,
51,48,
51,75,
52,50,
53,50,
54,53,
55,53,
55,52,
56,54,
57,54,
57,55,
58,32,
59,32,
60,56,
60,57,
61,56,
62,45,
62,49,
63,58,
63,84,
64,34,
64,88,
65,59,
66,37,
66,92,
67,42,
68,61,
69,61,
69,68,
70,65,
70,79,
71,49,
71,68,
72,71,
73,62,
73,104,
74,69,
75,47,
76,77,
76,74,
78,75,
78,73,
79,51,
80,77,
81,77,
81,91,
82,79,
82,78,
83,70,
83,82,
84,70,
85,72,
85,80,
86,72,
87,84,
87,83,
88,63,
89,74,
90,88,
90,87,
91,76,
92,64,
93,86,
93,85,
94,92,
94,90,
95,67,
95,66,
96,66,
97,89,
97,109,
98,80,
98,81,
99,95,
99,96,
100,85,
101,93,
101,100,
102,100,
103,100,
104,101,
105,102,
105,122,
106,102,
107,103,
107,104,
108,106,
108,105,
109,106,
110,73,
110,122,
110,111,
111,78,
111,113,
112,83,
113,82,
113,112,
114,109,
114,108,
115,97,
115,114,
116,87,
116,112,
117,90,
117,116,
118,94,
118,96,
119,94,
119,117,
120,99,
120,133,
121,118,
121,119,
122,107,
123,105,
123,124,
124,108,
124,125,
125,114,
126,115,
126,127,
127,125,
128,126,
129,112,
129,113,
129,117,
130,111,
131,110,
131,130,
132,119,
133,121,
134,133,
135,120,
135,134,
136,129,
136,130,
136,132,
137,132,
137,134,
138,131,
139,128,
139,138,
140,137,
140,142,
141,135,
141,140,
142,136,
142,138,
143,142,
143,144,
144,142,
144,145,
145,139,
146,144,
147,141,
147,143,
148,143,
