no_nodes
52

Node, X-Coordinate, Y-Coordinate
0,-11707249,3265267
1,-11707194,3265361
2,-11707063,3265246
3,-11707077,3265289
4,-11707197,3265286
5,-11707185,3265118
6,-11707302,3265158
7,-11707340,3265256
8,-11707134,3265227
9,-11707031,3265162
10,-11707014,3265119
11,-11707348,3265146
12,-11707279,3265093
13,-11706937,3265140
14,-11706997,3265073
15,-11707233,3265106
16,-11707198,3265016
17,-11707459,3265039
18,-11706678,3264811
19,-11707034,3265061
20,-11707115,3265039
21,-11706981,3264943
22,-11707087,3264877
23,-11707394,3264938
24,-11707146,3264751
25,-11707310,3264703
26,-11707118,3264763
27,-11706727,3264831
28,-11706841,3264785
29,-11706840,3264842
30,-11706865,3264726
31,-11706907,3264835
32,-11706546,3264793
33,-11706821,3264738
34,-11706754,3264808
35,-11706412,3264798
36,-11706609,3264713
37,-11706977,3264793
38,-11707224,3264727
39,-11707248,3264784
40,-11706852,3264729
41,-11706818,3264659
42,-11706927,3264708
43,-11706765,3264672
44,-11706655,3264553
45,-11707276,3264614
46,-11706875,3264585
47,-11706670,3264630
48,-11707242,3264527
49,-11706974,3264586
50,-11707208,3264442
51,-11706952,3264514

no_edges
57

Node Adjacency List
Node 1, Node 2,
0,1,
0,4,
2,3,
5,0,
5,9,
6,7,
8,2,
9,2,
10,9,
10,13,
11,6,
12,6,
12,15,
14,10,
15,5,
16,15,
16,20,
17,12,
18,14,
18,27,
19,14,
20,19,
21,19,
22,20,
23,17,
23,16,
24,16,
24,26,
25,23,
25,38,
26,27,
26,37,
28,29,
28,34,
30,31,
30,40,
32,18,
32,35,
33,18,
33,28,
36,32,
38,39,
38,24,
40,33,
41,40,
41,43,
42,30,
43,36,
44,36,
45,42,
45,25,
46,42,
47,43,
48,45,
48,49,
50,48,
50,51,
