Dataset,No. of Nodes,No. of Edges,No. of Districts,t_1,t_2,Road Network,Instance,Time w Cuts,Objective w Cuts
1,122,182,2,0.1,0.1,4,RN_4_2_0.1_0.1,754.57,61094.11
2,122,182,2,0.1,0.2,4,RN_4_2_0.1_0.2,655.16,61094.11
3,122,182,2,0.1,0.3,4,RN_4_2_0.1_0.3,317.71,61094.11
4,122,182,2,0.1,0.5,4,RN_4_2_0.1_0.5,282.14,61094.11
5,122,182,2,0.2,0.1,4,RN_4_2_0.2_0.1,522.33,60902.92
6,122,182,2,0.2,0.2,4,RN_4_2_0.2_0.2,410.53,60902.92
7,122,182,2,0.2,0.3,4,RN_4_2_0.2_0.3,396.63,60905.98
8,122,182,2,0.2,0.5,4,RN_4_2_0.2_0.5,385.41,60902.92
9,122,182,2,0.3,0.1,4,RN_4_2_0.3_0.1,455.58,60786.79
10,122,182,2,0.3,0.2,4,RN_4_2_0.3_0.2,339.9,60786.79
11,122,182,2,0.3,0.3,4,RN_4_2_0.3_0.3,350.84,60786.79
12,122,182,2,0.3,0.5,4,RN_4_2_0.3_0.5,410.83,60786.79
13,122,182,4,0.1,0.1,4,RN_4_4_0.1_0.1,228.29,35753.56
14,122,182,4,0.1,0.2,4,RN_4_4_0.1_0.2,162.04,35753.56
15,122,182,4,0.1,0.3,4,RN_4_4_0.1_0.3,147.02,35753.56
16,122,182,4,0.1,0.5,4,RN_4_4_0.1_0.5,144.08,35753.56
17,122,182,4,0.2,0.1,4,RN_4_4_0.2_0.1,151.28,35477.68
18,122,182,4,0.2,0.2,4,RN_4_4_0.2_0.2,127.76,35477.68
19,122,182,4,0.2,0.3,4,RN_4_4_0.2_0.3,129,35477.68
20,122,182,4,0.2,0.5,4,RN_4_4_0.2_0.5,135.09,35476.73
21,122,182,4,0.3,0.1,4,RN_4_4_0.3_0.1,175.4,35371.23
22,122,182,4,0.3,0.2,4,RN_4_4_0.3_0.2,231.35,35366.26
23,122,182,4,0.3,0.3,4,RN_4_4_0.3_0.3,172.63,35366.26
24,122,182,4,0.3,0.5,4,RN_4_4_0.3_0.5,136.8,35366.26
25,122,182,6,0.1,0.1,4,RN_4_6_0.1_0.1,137.18,26547.75
26,122,182,6,0.1,0.2,4,RN_4_6_0.1_0.2,141.03,26490.19
27,122,182,6,0.1,0.3,4,RN_4_6_0.1_0.3,157.57,26490.19
28,122,182,6,0.1,0.5,4,RN_4_6_0.1_0.5,126.34,26490.19
29,122,182,6,0.2,0.1,4,RN_4_6_0.2_0.1,114.67,25861.82
30,122,182,6,0.2,0.2,4,RN_4_6_0.2_0.2,105.91,25861.82
31,122,182,6,0.2,0.3,4,RN_4_6_0.2_0.3,80.01,25861.82
32,122,182,6,0.2,0.5,4,RN_4_6_0.2_0.5,92.52,25861.82
33,122,182,6,0.3,0.1,4,RN_4_6_0.3_0.1,83.57,25823.29
34,122,182,6,0.3,0.2,4,RN_4_6_0.3_0.2,93.98,25823.29
35,122,182,6,0.3,0.3,4,RN_4_6_0.3_0.3,93.47,25823.29
36,122,182,6,0.3,0.5,4,RN_4_6_0.3_0.5,62.43,25823.29
37,122,182,8,0.1,0.1,4,RN_4_8_0.1_0.1,215.21,21699.5
38,122,182,8,0.1,0.2,4,RN_4_8_0.1_0.2,228.08,21639.25
39,122,182,8,0.1,0.3,4,RN_4_8_0.1_0.3,211.29,21639.25
40,122,182,8,0.1,0.5,4,RN_4_8_0.1_0.5,244.6,21639.25
41,122,182,8,0.2,0.1,4,RN_4_8_0.2_0.1,147.59,21280
42,122,182,8,0.2,0.2,4,RN_4_8_0.2_0.2,100.44,21213.8
43,122,182,8,0.2,0.3,4,RN_4_8_0.2_0.3,94.45,21213.8
44,122,182,8,0.2,0.5,4,RN_4_8_0.2_0.5,124.92,21213.8
45,122,182,8,0.3,0.1,4,RN_4_8_0.3_0.1,157.76,21051.7
46,122,182,8,0.3,0.2,4,RN_4_8_0.3_0.2,90.25,20955.4
47,122,182,8,0.3,0.3,4,RN_4_8_0.3_0.3,144.46,20955.4
48,122,182,8,0.3,0.5,4,RN_4_8_0.3_0.5,114.83,20955.4
49,122,182,10,0.1,0.1,4,RN_4_10_0.1_0.1,119.71,17674.55
50,122,182,10,0.1,0.2,4,RN_4_10_0.1_0.2,90.36,17580.45
51,122,182,10,0.1,0.3,4,RN_4_10_0.1_0.3,91.7,17580.45
52,122,182,10,0.1,0.5,4,RN_4_10_0.1_0.5,91.82,17580.45
53,122,182,10,0.2,0.1,4,RN_4_10_0.2_0.1,144.39,17471.81
54,122,182,10,0.2,0.2,4,RN_4_10_0.2_0.2,88.88,17433.19
55,122,182,10,0.2,0.3,4,RN_4_10_0.2_0.3,92.76,17433.19
56,122,182,10,0.2,0.5,4,RN_4_10_0.2_0.5,78.43,17433.19
57,122,182,10,0.3,0.1,4,RN_4_10_0.3_0.1,163.79,17423.79
58,122,182,10,0.3,0.2,4,RN_4_10_0.3_0.2,107.43,17304.29
59,122,182,10,0.3,0.3,4,RN_4_10_0.3_0.3,95.59,17304.29
60,122,182,10,0.3,0.5,4,RN_4_10_0.3_0.5,85.78,17304.29
61,130,145,2,0.1,0.1,5,RN_5_2_0.1_0.1,68.9,61418.84
62,130,145,2,0.1,0.2,5,RN_5_2_0.1_0.2,54.92,61418.84
63,130,145,2,0.1,0.3,5,RN_5_2_0.1_0.3,48.68,61418.84
64,130,145,2,0.1,0.5,5,RN_5_2_0.1_0.5,47.03,61418.84
65,130,145,2,0.2,0.1,5,RN_5_2_0.2_0.1,50.68,61140.62
66,130,145,2,0.2,0.2,5,RN_5_2_0.2_0.2,53.51,61140.62
67,130,145,2,0.2,0.3,5,RN_5_2_0.2_0.3,53.56,61140.62
68,130,145,2,0.2,0.5,5,RN_5_2_0.2_0.5,62.58,61140.62
69,130,145,2,0.3,0.1,5,RN_5_2_0.3_0.1,62.73,61087.24
70,130,145,2,0.3,0.2,5,RN_5_2_0.3_0.2,63.32,61087.24
71,130,145,2,0.3,0.3,5,RN_5_2_0.3_0.3,71.49,61087.24
72,130,145,2,0.3,0.5,5,RN_5_2_0.3_0.5,65.65,61087.24
73,130,145,4,0.1,0.1,5,RN_5_4_0.1_0.1,58.01,43065
74,130,145,4,0.1,0.2,5,RN_5_4_0.1_0.2,199.26,43065
75,130,145,4,0.1,0.3,5,RN_5_4_0.1_0.3,59.62,43065
76,130,145,4,0.1,0.5,5,RN_5_4_0.1_0.5,134.33,43065
77,130,145,4,0.2,0.1,5,RN_5_4_0.2_0.1,83.25,42083.42
78,130,145,4,0.2,0.2,5,RN_5_4_0.2_0.2,72.29,42083.42
79,130,145,4,0.2,0.3,5,RN_5_4_0.2_0.3,101.87,42083.42
80,130,145,4,0.2,0.5,5,RN_5_4_0.2_0.5,109.57,42083.42
81,130,145,4,0.3,0.1,5,RN_5_4_0.3_0.1,96.06,41561.34
82,130,145,4,0.3,0.2,5,RN_5_4_0.3_0.2,110.94,41561.34
83,130,145,4,0.3,0.3,5,RN_5_4_0.3_0.3,88.78,41561.34
84,130,145,4,0.3,0.5,5,RN_5_4_0.3_0.5,75.71,41561.34
85,130,145,6,0.1,0.1,5,RN_5_6_0.1_0.1,179.27,28935.85
86,130,145,6,0.1,0.2,5,RN_5_6_0.1_0.2,178.86,28935.85
87,130,145,6,0.1,0.3,5,RN_5_6_0.1_0.3,163.17,28935.85
88,130,145,6,0.1,0.5,5,RN_5_6_0.1_0.5,156.19,28935.85
89,130,145,6,0.2,0.1,5,RN_5_6_0.2_0.1,32.12,28108.99
90,130,145,6,0.2,0.2,5,RN_5_6_0.2_0.2,32.89,28108.99
91,130,145,6,0.2,0.3,5,RN_5_6_0.2_0.3,37.64,28108.99
92,130,145,6,0.2,0.5,5,RN_5_6_0.2_0.5,33.76,28108.99
93,130,145,6,0.3,0.1,5,RN_5_6_0.3_0.1,32.21,27710.32
94,130,145,6,0.3,0.2,5,RN_5_6_0.3_0.2,19.33,27710.32
95,130,145,6,0.3,0.3,5,RN_5_6_0.3_0.3,27.22,27710.32
96,130,145,6,0.3,0.5,5,RN_5_6_0.3_0.5,33.96,27710.32
97,130,145,8,0.1,0.1,5,RN_5_8_0.1_0.1,76.98,25468.58
98,130,145,8,0.1,0.2,5,RN_5_8_0.1_0.2,82.33,25468.58
99,130,145,8,0.1,0.3,5,RN_5_8_0.1_0.3,70.76,25468.58
100,130,145,8,0.1,0.5,5,RN_5_8_0.1_0.5,77.95,25468.58
101,130,145,8,0.2,0.1,5,RN_5_8_0.2_0.1,1159.65,24091.98
102,130,145,8,0.2,0.2,5,RN_5_8_0.2_0.2,1078.37,24091.98
103,130,145,8,0.2,0.3,5,RN_5_8_0.2_0.3,1025.6,24091.98
104,130,145,8,0.2,0.5,5,RN_5_8_0.2_0.5,971.37,24091.98
105,130,145,8,0.3,0.1,5,RN_5_8_0.3_0.1,23.38,23104.31
106,130,145,8,0.3,0.2,5,RN_5_8_0.3_0.2,43.6,23104.31
107,130,145,8,0.3,0.3,5,RN_5_8_0.3_0.3,26.66,23104.31
108,130,145,8,0.3,0.5,5,RN_5_8_0.3_0.5,38.59,23104.31
109,130,145,10,0.1,0.1,5,RN_5_10_0.1_0.1,40.11,21038.91
110,130,145,10,0.1,0.2,5,RN_5_10_0.1_0.2,45.47,21038.91
111,130,145,10,0.1,0.3,5,RN_5_10_0.1_0.3,54.4,21038.91
112,130,145,10,0.1,0.5,5,RN_5_10_0.1_0.5,54.96,21038.91
113,130,145,10,0.2,0.1,5,RN_5_10_0.2_0.1,415.57,19591.01
114,130,145,10,0.2,0.2,5,RN_5_10_0.2_0.2,639.18,19609.47
115,130,145,10,0.2,0.3,5,RN_5_10_0.2_0.3,517.64,19609.47
116,130,145,10,0.2,0.5,5,RN_5_10_0.2_0.5,602.01,19609.47
117,130,145,10,0.3,0.1,5,RN_5_10_0.3_0.1,34.74,19054.24
118,130,145,10,0.3,0.2,5,RN_5_10_0.3_0.2,54.8,19054.24
119,130,145,10,0.3,0.3,5,RN_5_10_0.3_0.3,27.81,19054.24
120,130,145,10,0.3,0.5,5,RN_5_10_0.3_0.5,40.39,19054.24
