Dataset,No. of Nodes,No. of Edges,No. of Districts,t_1,t_2,Road Network ,Instance,Time w Cuts,Objective w Cuts
1,149,221,2,0.04,0.01,6,RN_6_2_0.04_0.01,1817.32,90950.43
2,149,221,2,0.04,0.04,6,RN_6_2_0.04_0.04,2676.63,90895.95
3,149,221,2,0.06,0.01,6,RN_6_2_0.06_0.01,1347.17,90512.91
4,149,221,2,0.06,0.04,6,RN_6_2_0.06_0.04,1950.84,90465.48
5,149,221,6,0.04,0.01,6,RN_6_6_0.04_0.01,6063.3,38161.38
6,149,221,6,0.04,0.04,6,RN_6_6_0.04_0.04,17439,37970.34
7,149,221,6,0.06,0.01,6,RN_6_6_0.06_0.01,5403.97,37829.83
8,149,221,6,0.06,0.04,6,RN_6_6_0.06_0.04,5126.01,37522.68
9,158,201,2,0.04,0.01,8,RN_8_2_0.04_0.01,496.1,101113.32
10,158,201,2,0.04,0.04,8,RN_8_2_0.04_0.04,1093.7,101113.32
11,158,201,2,0.06,0.01,8,RN_8_2_0.06_0.01,448.94,99668.12
12,158,201,2,0.06,0.04,8,RN_8_2_0.06_0.04,774.13,99668.12
13,158,201,6,0.04,0.01,8,RN_8_6_0.04_0.01,648.45,49703.95
14,158,201,6,0.04,0.04,8,RN_8_6_0.04_0.04,532.77,49463.11
15,158,201,6,0.06,0.01,8,RN_8_6_0.06_0.01,608.35,49284.92
16,158,201,6,0.06,0.04,8,RN_8_6_0.06_0.04,416.08,49124.31
17,171,240,2,0.04,0.01,9,RN_9_2_0.04_0.01,1540.85,118741.72
18,171,240,2,0.04,0.04,9,RN_9_2_0.04_0.04,3036.97,118508.93
19,171,240,2,0.06,0.01,9,RN_9_2_0.06_0.01,1375.03,118084.25
20,171,240,2,0.06,0.04,9,RN_9_2_0.06_0.04,2489.04,117712.55
21,171,240,6,0.04,0.01,9,RN_9_6_0.04_0.01,1570.18,58753.03
22,171,240,6,0.04,0.04,9,RN_9_6_0.04_0.04,756.02,57912.87
23,171,240,6,0.06,0.01,9,RN_9_6_0.06_0.01,3562.04,58567.03
24,171,240,6,0.06,0.04,9,RN_9_6_0.06_0.04,1139.15,57612.18
