Dataset,No. of Nodes,No. of Edges,No. of Districts,t_1,t_2,Road Network ,Instance,Time w Cuts,Objective w Cuts
1,122,182,2,0.1,0.1,4,RN_4_2_0.1_0.1,687.19,61094.11
2,122,182,2,0.1,0.2,4,RN_4_2_0.1_0.2,543.38,61094.11
3,122,182,2,0.1,0.3,4,RN_4_2_0.1_0.3,273.33,61094.11
4,122,182,2,0.1,0.5,4,RN_4_2_0.1_0.5,282.06,61094.11
5,122,182,2,0.2,0.1,4,RN_4_2_0.2_0.1,510.29,60905.98
6,122,182,2,0.2,0.2,4,RN_4_2_0.2_0.2,397.25,60902.92
7,122,182,2,0.2,0.3,4,RN_4_2_0.2_0.3,372.24,60902.92
8,122,182,2,0.2,0.5,4,RN_4_2_0.2_0.5,370.5,60902.92
9,122,182,2,0.3,0.1,4,RN_4_2_0.3_0.1,467.88,60786.79
10,122,182,2,0.3,0.2,4,RN_4_2_0.3_0.2,380.16,60786.79
11,122,182,2,0.3,0.3,4,RN_4_2_0.3_0.3,363.66,60786.79
12,122,182,2,0.3,0.5,4,RN_4_2_0.3_0.5,348.11,60786.79
13,122,182,4,0.1,0.1,4,RN_4_4_0.1_0.1,209.08,35753.56
14,122,182,4,0.1,0.2,4,RN_4_4_0.1_0.2,126.2,35753.56
15,122,182,4,0.1,0.3,4,RN_4_4_0.1_0.3,173.9,35753.56
16,122,182,4,0.1,0.5,4,RN_4_4_0.1_0.5,164.45,35753.56
17,122,182,4,0.2,0.1,4,RN_4_4_0.2_0.1,125,35476.73
18,122,182,4,0.2,0.2,4,RN_4_4_0.2_0.2,112.58,35476.73
19,122,182,4,0.2,0.3,4,RN_4_4_0.2_0.3,139.4,35476.73
20,122,182,4,0.2,0.5,4,RN_4_4_0.2_0.5,112.69,35477.69
21,122,182,4,0.3,0.1,4,RN_4_4_0.3_0.1,165.69,35371.23
22,122,182,4,0.3,0.2,4,RN_4_4_0.3_0.2,200.66,35366.26
23,122,182,4,0.3,0.3,4,RN_4_4_0.3_0.3,189.18,35366.26
24,122,182,4,0.3,0.5,4,RN_4_4_0.3_0.5,163.46,35366.26
25,122,182,6,0.1,0.1,4,RN_4_6_0.1_0.1,169.86,26547.75
26,122,182,6,0.1,0.2,4,RN_4_6_0.1_0.2,131.29,26490.19
27,122,182,6,0.1,0.3,4,RN_4_6_0.1_0.3,129.43,26490.19
28,122,182,6,0.1,0.5,4,RN_4_6_0.1_0.5,107.01,26490.19
29,122,182,6,0.2,0.1,4,RN_4_6_0.2_0.1,108.01,25861.82
30,122,182,6,0.2,0.2,4,RN_4_6_0.2_0.2,76.56,25861.82
31,122,182,6,0.2,0.3,4,RN_4_6_0.2_0.3,82.23,25861.82
32,122,182,6,0.2,0.5,4,RN_4_6_0.2_0.5,68.1,25861.82
33,122,182,6,0.3,0.1,4,RN_4_6_0.3_0.1,91.46,25823.29
34,122,182,6,0.3,0.2,4,RN_4_6_0.3_0.2,63.38,25823.29
35,122,182,6,0.3,0.3,4,RN_4_6_0.3_0.3,88.39,25823.29
36,122,182,6,0.3,0.5,4,RN_4_6_0.3_0.5,81.45,25823.29
37,122,182,8,0.1,0.1,4,RN_4_8_0.1_0.1,219.84,21699.5
38,122,182,8,0.1,0.2,4,RN_4_8_0.1_0.2,161.11,21639.25
39,122,182,8,0.1,0.3,4,RN_4_8_0.1_0.3,196.09,21639.25
40,122,182,8,0.1,0.5,4,RN_4_8_0.1_0.5,130.94,21639.25
41,122,182,8,0.2,0.1,4,RN_4_8_0.2_0.1,204.04,21280
42,122,182,8,0.2,0.2,4,RN_4_8_0.2_0.2,105.23,21213.8
43,122,182,8,0.2,0.3,4,RN_4_8_0.2_0.3,95.12,21213.8
44,122,182,8,0.2,0.5,4,RN_4_8_0.2_0.5,107.16,21213.8
45,122,182,8,0.3,0.1,4,RN_4_8_0.3_0.1,169.41,21051.7
46,122,182,8,0.3,0.2,4,RN_4_8_0.3_0.2,137.09,20955.4
47,122,182,8,0.3,0.3,4,RN_4_8_0.3_0.3,141.67,20956.48
48,122,182,8,0.3,0.5,4,RN_4_8_0.3_0.5,105.94,20955.4
49,122,182,10,0.1,0.1,4,RN_4_10_0.1_0.1,113.93,17674.55
50,122,182,10,0.1,0.2,4,RN_4_10_0.1_0.2,74.75,17580.45
51,122,182,10,0.1,0.3,4,RN_4_10_0.1_0.3,76.54,17580.45
52,122,182,10,0.1,0.5,4,RN_4_10_0.1_0.5,76.84,17580.45
53,122,182,10,0.2,0.1,4,RN_4_10_0.2_0.1,123.13,17471.81
54,122,182,10,0.2,0.2,4,RN_4_10_0.2_0.2,83.3,17433.19
55,122,182,10,0.2,0.3,4,RN_4_10_0.2_0.3,96.01,17433.19
56,122,182,10,0.2,0.5,4,RN_4_10_0.2_0.5,93.76,17433.19
57,122,182,10,0.3,0.1,4,RN_4_10_0.3_0.1,150.27,17423.79
58,122,182,10,0.3,0.2,4,RN_4_10_0.3_0.2,89.09,17304.29
59,122,182,10,0.3,0.3,4,RN_4_10_0.3_0.3,86.25,17304.29
