Dataset,No. of Nodes,No. of Edges,No. of Districts,t_1,t_2,Road Network,Instance,Time wo Cuts,Time w Cuts,Improvement in Time (1st_Logic),Objective Function wo Cuts,Objective w Cuts,Gap
1,122,182,2,0.1,0.1,4,RN_4_2_0.1_0.1,916.97,868.02,1.05639271,61094.11,61094.11,0
2,122,182,2,0.1,0.2,4,RN_4_2_0.1_0.2,979.82,725.26,1.350991369,61094.11,61094.11,0
3,122,182,2,0.1,0.3,4,RN_4_2_0.1_0.3,434.15,329.35,1.31820252,61094.11,61094.11,0
4,122,182,2,0.1,0.5,4,RN_4_2_0.1_0.5,424.72,319.29,1.330201384,61094.11,61094.11,0
5,122,182,2,0.2,0.1,4,RN_4_2_0.2_0.1,727.13,607.91,1.196114556,60902.92,60902.92,0
6,122,182,2,0.2,0.2,4,RN_4_2_0.2_0.2,539.36,493.34,1.093282523,60904.21,60904.21,0
7,122,182,2,0.2,0.3,4,RN_4_2_0.2_0.3,556.87,432.8,1.286668207,60905.98,60902.92,-5.02E-05
8,122,182,2,0.2,0.5,4,RN_4_2_0.2_0.5,516.93,421.32,1.22692965,60904.21,60904.21,0
9,122,182,2,0.3,0.1,4,RN_4_2_0.3_0.1,542.35,439.58,1.233791346,60786.79,60786.79,0
10,122,182,2,0.3,0.2,4,RN_4_2_0.3_0.2,433.74,378.92,1.144674338,60786.79,60786.79,0
11,122,182,2,0.3,0.3,4,RN_4_2_0.3_0.3,429.81,361.88,1.187714159,60786.79,60786.79,0
12,122,182,2,0.3,0.5,4,RN_4_2_0.3_0.5,430.58,340.97,1.262809045,60786.79,60786.79,0
13,122,182,4,0.1,0.1,4,RN_4_4_0.1_0.1,224.51,246.33,0.91141964,35753.56,35753.56,0
14,122,182,4,0.1,0.2,4,RN_4_4_0.1_0.2,170.67,143.13,1.192412492,35753.56,35753.56,0
15,122,182,4,0.1,0.3,4,RN_4_4_0.1_0.3,226.21,148.04,1.528032964,35753.56,35753.56,0
16,122,182,4,0.1,0.5,4,RN_4_4_0.1_0.5,172.81,185.1,0.933603458,35753.56,35753.56,0
