Dataset,No. of Nodes,No. of Edges,No. of Districts,t_1,t_2,Road Network,Instance,Time wo Cuts,Time w Cuts,Improvement in Time (1st_Logic),Objective Function wo Cuts,Objective w Cuts,Gap
1,149,221,2,0.04,0.01,6,RN_6_2_0.04_0.01,1798.52,1696.58,1.060085584,90950.43,90950.43,0
2,149,221,2,0.04,0.04,6,RN_6_2_0.04_0.04,3047.18,2985.19,1.020765847,90888.24,90895.95,8.48E-05
3,149,221,2,0.06,0.01,6,RN_6_2_0.06_0.01,1410.21,1207.15,1.168214389,90512.91,90512.91,0
4,149,221,2,0.06,0.04,6,RN_6_2_0.06_0.04,2108.3,2211.8,0.953205534,90465.48,90465.48,0
5,149,221,6,0.04,0.01,6,RN_6_6_0.04_0.01,6717.87,6724.43,0.999024453,38161.38,38161.38,0
6,149,221,6,0.04,0.04,6,RN_6_6_0.04_0.04,22204.97,19300.42,1.150491544,37970.34,37970.34,0
7,149,221,6,0.06,0.01,6,RN_6_6_0.06_0.01,3009.97,1974.89,1.524120331,37829.83,37829.83,0
8,149,221,6,0.06,0.04,6,RN_6_6_0.06_0.04,7635.86,6753.32,1.13068239,37522.68,37522.68,0
9,158,201,2,0.04,0.01,8,RN_8_2_0.04_0.01,839.68,549.97,1.526774188,101113.32,101113.32,0
10,158,201,2,0.04,0.04,8,RN_8_2_0.04_0.04,1624.94,1040.77,1.561286355,101113.32,101113.32,0
11,158,201,2,0.06,0.01,8,RN_8_2_0.06_0.01,705.03,434.15,1.623931821,99668.12,99668.12,0
12,158,201,2,0.06,0.04,8,RN_8_2_0.06_0.04,1079.95,789.23,1.368359033,99668.12,99668.12,0
13,158,201,6,0.04,0.01,8,RN_8_6_0.04_0.01,1131.5,910.88,1.24220534,49703.95,49703.95,0
14,158,201,6,0.04,0.04,8,RN_8_6_0.04_0.04,941.66,517.95,1.818051936,49463.11,49463.11,0
15,158,201,6,0.06,0.01,8,RN_8_6_0.06_0.01,1022.54,564.11,1.812660651,49284.92,49284.92,0
16,158,201,6,0.06,0.04,8,RN_8_6_0.06_0.04,418.71,398.28,1.051295571,49124.31,49124.31,0
17,171,240,2,0.04,0.01,9,RN_9_2_0.04_0.01,2139.11,1729.86,1.236579839,118741.72,118741.72,0
18,171,240,2,0.04,0.04,9,RN_9_2_0.04_0.04,3746.95,3189.62,1.174732413,118508.93,118508.93,0
19,171,240,2,0.06,0.01,9,RN_9_2_0.06_0.01,1802.68,1295.54,1.391450669,118084.25,118084.25,0
20,171,240,2,0.06,0.04,9,RN_9_2_0.06_0.04,2933,2534.96,1.157020229,117715.94,117715.94,0
21,171,240,6,0.04,0.01,9,RN_9_6_0.04_0.01,1638.87,869.75,1.884300086,58753.03,58753.03,0
22,171,240,6,0.04,0.04,9,RN_9_6_0.04_0.04,996.64,1087.11,0.916779351,57912.87,57912.87,0
23,171,240,6,0.06,0.01,9,RN_9_6_0.06_0.01,4908.79,3913.34,1.254373502,58567.03,58567.03,0
24,171,240,6,0.06,0.04,9,RN_9_6_0.06_0.04,1264.04,1016.04,1.244084879,57612.18,57612.18,0
