Dataset,No. of Nodes,No. of Edges,No. of Districts,Tolerance,Time w Cuts,Objective w Cuts,No_Iterations_w_logic,No_Cuts_w_logic
1,87,113,2,0.08,30.7,39766.76,1.0,0.0
2,87,113,2,0.1,14.34,39766.76,1.0,0.0
3,87,113,2,0.2,46.37,39766.76,1.0,0.0
4,87,113,2,0.3,27.59,39766.76,1.0,0.0
5,87,113,2,1,12.16,39766.76,1.0,0.0
6,87,113,4,0.08,18.35,23892.15,1.0,0.0
7,87,113,4,0.1,19.2,23752.05,1.0,0.0
8,87,113,4,0.2,15.64,23484.41,1.0,0.0
9,87,113,4,0.3,15.78,23357.98,1.0,0.0
10,87,113,4,1,37.3,23340.54,1.0,0.0
11,87,113,6,0.08,14.38,17265.96,1.0,0.0
12,87,113,6,0.1,11.33,17238.5,1.0,0.0
13,87,113,6,0.2,26.26,17189.97,1.0,0.0
14,87,113,6,0.3,16.01,17189.97,1.0,0.0
15,87,113,6,1,13.14,17189.97,1.0,0.0
16,87,113,8,0.08,59.33,13300.2,1.0,0.0
17,87,113,8,0.1,57.85,13300.2,1.0,0.0
18,87,113,8,0.2,22.99,12988.59,1.0,0.0
19,87,113,8,0.3,40.15,12781.97,1.0,0.0
20,87,113,8,1,42.13,12781.97,1.0,0.0
21,87,113,10,0.08,45.23,10560.94,1.0,0.0
22,87,113,10,0.1,47.58,10560.94,1.0,0.0
23,87,113,10,0.2,24.12,9913.38,1.0,0.0
24,87,113,10,0.3,17.43,9761.49,1.0,0.0
25,87,113,10,1,32.88,9746.99,1.0,0.0
26,108,158,2,0.08,85.07,45488.44,1.0,0.0
27,108,158,2,0.1,108.79,45488.44,1.0,0.0
28,108,158,2,0.2,116.38,45488.44,1.0,0.0
29,108,158,2,0.3,103.24,45488.44,1.0,0.0
30,108,158,2,1,34.62,45488.44,1.0,0.0
31,108,158,4,0.08,39.87,28328.57,1.0,0.0
32,108,158,4,0.1,42.28,28152.78,1.0,0.0
33,108,158,4,0.2,73.89,27984.69,1.0,0.0
34,108,158,4,0.3,50.7,27693.11,1.0,0.0
35,108,158,4,1,34.91,27662.65,1.0,0.0
36,108,158,6,0.08,45.15,20788.11,1.0,0.0
37,108,158,6,0.1,76.5,20673.76,1.0,0.0
38,108,158,6,0.2,57.03,20277.02,1.0,0.0
39,108,158,6,0.3,121.93,19778.49,2.0,4.0
40,108,158,6,1,28.06,19549.89,1.0,0.0
41,108,158,8,0.08,96.11,16481.51,1.0,0.0
42,108,158,8,0.1,30.64,16272.79,1.0,0.0
43,108,158,8,0.2,77.06,15927.51,1.0,0.0
44,108,158,8,0.3,26.42,15760.31,1.0,0.0
45,108,158,8,1,27.94,15755.64,1.0,0.0
46,108,158,10,0.08,42.98,12807.3,1.0,0.0
47,108,158,10,0.1,42.99,12807.3,1.0,0.0
48,108,158,10,0.2,20.4,12570.03,1.0,0.0
49,108,158,10,0.3,11.53,12456.5,1.0,0.0
50,108,158,10,1,12.23,12456.5,1.0,0.0
51,113,153,2,0.08,73.17,61138.47,1.0,0.0
52,113,153,2,0.1,51.5,61138.47,1.0,0.0
53,113,153,2,0.2,119.92,61138.47,1.0,0.0
54,113,153,2,0.3,121.07,61138.47,1.0,0.0
55,113,153,2,1,61.77,61138.47,1.0,0.0
56,113,153,4,0.08,369.54,40058.2,5.0,8.0
57,113,153,4,0.1,23.89,39792.66,1.0,0.0
58,113,153,4,0.2,19.71,38902.22,1.0,0.0
59,113,153,4,0.3,70.74,38861.34,1.0,0.0
60,113,153,4,1,50.77,38846.32,1.0,0.0
61,113,153,6,0.08,46.6,29064.48,1.0,0.0
62,113,153,6,0.1,60.69,28969.15,1.0,0.0
63,113,153,6,0.2,53.88,28778.62,1.0,0.0
64,113,153,6,0.3,24.39,28512.45,1.0,0.0
65,113,153,6,1,10.09,28292.13,1.0,0.0
66,113,153,8,0.08,57.53,22847.06,1.0,0.0
67,113,153,8,0.1,54.81,22623.27,1.0,0.0
68,113,153,8,0.2,11.87,22108.77,1.0,0.0
69,113,153,8,0.3,20.14,21811.51,1.0,0.0
70,113,153,8,1,23.22,21780.6,1.0,0.0
