no_nodes
700

Node, X-Coordinate, Y-Coordinate
0,-11713222,3276579
1,-11713190,3276761
2,-11713406,3276578
3,-11713405,3276637
4,-11713159,3276566
5,-11713151,3276601
6,-11713391,3276578
7,-11713267,3276579
8,-11713267,3276474
9,-11713494,3276578
10,-11713516,3276473
11,-11713391,3276473
12,-11713145,3276562
13,-11713045,3276559
14,-11713144,3276473
15,-11714023,3276381
16,-11714152,3276430
17,-11713894,3276284
18,-11713913,3276491
19,-11713694,3276462
20,-11713638,3276475
21,-11713639,3276285
22,-11713267,3276287
23,-11713516,3276284
24,-11713391,3276286
25,-11713143,3276378
26,-11714432,3276407
27,-11714433,3276463
28,-11713710,3276285
29,-11714156,3276378
30,-11712942,3276399
31,-11712866,3276410
32,-11712823,3276289
33,-11714436,3276319
34,-11714603,3276321
35,-11713021,3276378
36,-11712926,3276348
37,-11714008,3276284
38,-11713144,3276288
39,-11713020,3276288
40,-11714241,3276321
41,-11714755,3276317
42,-11714756,3276346
43,-11714251,3276274
44,-11714630,3276306
45,-11714503,3276319
46,-11714401,3276320
47,-11714453,3276319
48,-11714453,3276310
49,-11714838,3276247
50,-11714388,3276246
51,-11714452,3276246
52,-11714628,3276244
53,-11712774,3276302
54,-11715125,3276227
55,-11715247,3276289
56,-11712781,3276155
57,-11712896,3276288
58,-11713142,3276101
59,-11713021,3276102
60,-11712895,3276102
61,-11713266,3276101
62,-11713391,3276100
63,-11713763,3276285
64,-11713763,3276099
65,-11713638,3276099
66,-11713889,3276252
67,-11714132,3276284
68,-11714010,3276097
69,-11714132,3276098
70,-11713515,3276100
71,-11714259,3276270
72,-11714379,3276246
73,-11714257,3276097
74,-11715212,3276163
75,-11715225,3276254
76,-11713887,3276190
77,-11714753,3276245
78,-11714504,3276193
79,-11714504,3276246
80,-11714593,3276245
81,-11714380,3276097
82,-11714754,3276096
83,-11714628,3276191
84,-11715071,3276229
85,-11715126,3276164
86,-11713917,3276174
87,-11713916,3276209
88,-11715004,3276166
89,-11714878,3276181
90,-11714504,3276097
91,-11714628,3276096
92,-11713886,3276118
93,-11715502,3276184
94,-11715619,3276185
95,-11715621,3276092
96,-11715499,3276093
97,-11714880,3276096
98,-11713976,3276097
99,-11715003,3276095
100,-11715127,3276095
101,-11715250,3276159
102,-11715369,3276134
103,-11715249,3276095
104,-11715373,3276094
105,-11713886,3276099
106,-11712894,3275988
107,-11713018,3275915
108,-11712772,3276082
109,-11713266,3275914
110,-11713142,3275914
111,-11713515,3275913
112,-11713389,3275913
113,-11713947,3276098
114,-11713638,3275912
115,-11713762,3275913
116,-11713886,3276034
117,-11714133,3276008
118,-11713948,3275911
119,-11714502,3275908
120,-11714379,3275909
121,-11714256,3275939
122,-11714009,3276079
123,-11714879,3275907
124,-11714753,3275908
125,-11714626,3275908
126,-11715243,3276020
127,-11715364,3276094
128,-11715126,3275965
129,-11715002,3275906
130,-11715364,3276018
131,-11715863,3276029
132,-11715705,3276094
133,-11715764,3275913
134,-11715483,3276093
135,-11715591,3276009
136,-11715599,3276093
137,-11715480,3276002
138,-11712648,3275728
139,-11712770,3275729
140,-11714008,3275911
141,-11715931,3275947
142,-11713884,3275912
143,-11714132,3275910
144,-11715562,3275870
145,-11712838,3275989
146,-11712894,3275916
147,-11715070,3275966
148,-11715126,3275903
149,-11714310,3275910
150,-11714256,3275910
151,-11712895,3275728
152,-11713017,3275728
153,-11713265,3275727
154,-11713142,3275727
155,-11713761,3275724
156,-11713515,3275726
157,-11713388,3275726
158,-11713885,3275724
159,-11713637,3275725
160,-11714008,3275724
161,-11714379,3275871
162,-11714255,3275723
163,-11714133,3275723
164,-11714753,3275721
165,-11714502,3275802
166,-11714626,3275734
167,-11714879,3275720
168,-11715001,3275719
169,-11715245,3275902
170,-11715124,3275719
171,-11715246,3275722
172,-11715291,3275736
173,-11714378,3275722
174,-11714502,3275721
175,-11715446,3275677
176,-11714626,3275722
177,-11712770,3275541
178,-11712631,3275726
179,-11713017,3275540
180,-11712894,3275540
181,-11712646,3275540
182,-11713265,3275540
183,-11713142,3275540
184,-11712602,3275724
185,-11712581,3275577
186,-11713513,3275538
187,-11713388,3275539
188,-11713636,3275538
189,-11713885,3275672
190,-11714007,3275537
191,-11713760,3275538
192,-11714254,3275535
193,-11714130,3275536
194,-11714625,3275690
195,-11714377,3275535
196,-11715222,3275719
197,-11714501,3275535
198,-11714877,3275535
199,-11715228,3275681
200,-11715123,3275531
201,-11715000,3275530
202,-11714624,3275608
203,-11715314,3275555
204,-11715242,3275550
205,-11713885,3275584
206,-11715587,3275513
207,-11715766,3275647
208,-11714628,3275552
209,-11714665,3275510
210,-11713885,3275538
211,-11714630,3275532
212,-11712770,3275524
213,-11712646,3275533
214,-11713265,3275524
215,-11713141,3275524
216,-11712894,3275524
217,-11713017,3275525
218,-11712581,3275539
219,-11713387,3275523
220,-11712550,3275531
221,-11713833,3275538
222,-11713884,3275521
223,-11713760,3275521
224,-11713637,3275521
225,-11713513,3275522
226,-11714130,3275520
227,-11714575,3275534
228,-11714862,3275347
229,-11714326,3275535
230,-11714377,3275518
231,-11714254,3275521
232,-11714612,3275534
233,-11712646,3275525
234,-11714626,3275514
235,-11714640,3275506
236,-11715111,3275424
237,-11712573,3275523
238,-11714973,3275345
239,-11713018,3275407
240,-11712647,3275408
241,-11713265,3275404
242,-11713141,3275406
243,-11712894,3275407
244,-11712770,3275407
245,-11713385,3275404
246,-11713513,3275404
247,-11713759,3275404
248,-11713637,3275404
249,-11714254,3275402
250,-11714006,3275521
251,-11714007,3275403
252,-11713945,3275521
253,-11713883,3275482
254,-11714128,3275403
255,-11714500,3275519
256,-11714421,3275518
257,-11714500,3275402
258,-11714377,3275402
259,-11714626,3275462
260,-11715689,3275454
261,-11715688,3275513
262,-11715587,3275455
263,-11714708,3275424
264,-11714675,3275447
265,-11714642,3275437
266,-11713880,3275403
267,-11712523,3275408
268,-11712550,3275478
269,-11714627,3275437
270,-11715586,3275420
271,-11715715,3275453
272,-11714692,3275419
273,-11715175,3275442
274,-11714642,3275403
275,-11714626,3275403
276,-11714757,3275326
277,-11715098,3275348
278,-11715341,3275382
279,-11715584,3275321
280,-11714741,3275312
281,-11712645,3275219
282,-11712521,3275339
283,-11713016,3275218
284,-11712891,3275220
285,-11712770,3275220
286,-11713139,3275219
287,-11713635,3275217
288,-11713462,3275404
289,-11713510,3275217
290,-11713460,3275366
291,-11713263,3275218
292,-11713385,3275290
293,-11713462,3275389
294,-11713760,3275216
295,-11713414,3275374
296,-11714628,3275228
297,-11714642,3275234
298,-11714130,3275215
299,-11714005,3275216
300,-11713880,3275216
301,-11714377,3275214
302,-11714253,3275214
303,-11714500,3275215
304,-11715249,3275328
305,-11715342,3275323
306,-11713424,3275336
307,-11715099,3275254
308,-11714787,3275286
309,-11714933,3275222
310,-11712524,3275219
311,-11712460,3275220
312,-11713410,3275290
313,-11715167,3275217
314,-11714766,3275278
315,-11715343,3275219
316,-11715664,3275310
317,-11714752,3275275
318,-11713413,3275272
319,-11713385,3275242
320,-11714810,3275273
321,-11714793,3275228
322,-11714781,3275268
323,-11714842,3275104
324,-11714842,3275260
325,-11713431,3275259
326,-11713405,3275243
327,-11714815,3275253
328,-11713423,3275253
329,-11713441,3275245
330,-11714967,3275208
331,-11715140,3275210
332,-11714925,3275207
333,-11713423,3275231
334,-11713442,3275223
335,-11713385,3275220
336,-11714641,3275183
337,-11713422,3275223
338,-11714857,3275110
339,-11714628,3275182
340,-11713385,3275133
341,-11712893,3275034
342,-11712768,3275034
343,-11712387,3275037
344,-11715537,3275218
345,-11715342,3275169
346,-11713139,3275032
347,-11712643,3275034
348,-11712522,3275035
349,-11713263,3275032
350,-11713016,3275033
351,-11713634,3275030
352,-11713510,3275134
353,-11714003,3275030
354,-11713758,3275030
355,-11713881,3275031
356,-11714128,3275030
357,-11714499,3275028
358,-11714252,3275029
359,-11714375,3275028
360,-11715045,3275176
361,-11714958,3275194
362,-11714927,3275135
363,-11715023,3275168
364,-11714640,3275031
365,-11714727,3275064
366,-11714627,3275029
367,-11715056,3275172
368,-11715477,3275172
369,-11715072,3275165
370,-11715341,3275150
371,-11715033,3275164
372,-11715117,3275145
373,-11715049,3275157
374,-11715099,3275104
375,-11715099,3275136
376,-11715395,3275063
377,-11715112,3275132
378,-11715064,3274984
379,-11713509,3275031
380,-11713385,3275031
381,-11715161,3275112
382,-11715119,3275081
383,-11715341,3275063
384,-11714946,3274939
385,-11714928,3274932
386,-11715124,3274955
387,-11714812,3274890
388,-11715525,3275043
389,-11715526,3275034
390,-11712397,3274991
391,-11712374,3274995
392,-11712520,3274850
393,-11712890,3274849
394,-11712767,3274849
395,-11712643,3274849
396,-11713011,3274845
397,-11715343,3274970
398,-11715361,3275032
399,-11713137,3274845
400,-11713257,3274847
401,-11714639,3274891
402,-11713880,3274866
403,-11713511,3274846
404,-11713387,3274846
405,-11714127,3274844
406,-11714003,3274845
407,-11713761,3274845
408,-11713634,3274846
409,-11714251,3274844
410,-11714625,3274855
411,-11714424,3275029
412,-11714372,3274844
413,-11714498,3274850
414,-11712315,3274851
415,-11712394,3274850
416,-11715528,3274842
417,-11715342,3274894
418,-11715124,3274856
419,-11714972,3274890
420,-11714957,3274869
421,-11715344,3274854
422,-11714641,3274845
423,-11714996,3274846
424,-11714838,3274841
425,-11714969,3274842
426,-11713881,3274845
427,-11715124,3274843
428,-11714626,3274845
429,-11715343,3274845
430,-11712289,3274781
431,-11714498,3274845
432,-11712607,3274849
433,-11712500,3274740
434,-11712502,3274850
435,-11712391,3274740
436,-11712979,3274846
437,-11712920,3274849
438,-11712823,3274739
439,-11712823,3274849
440,-11712920,3274741
441,-11712718,3274849
442,-11712717,3274740
443,-11712609,3274740
444,-11713363,3274846
445,-11713283,3274847
446,-11713192,3274846
447,-11713279,3274732
448,-11713190,3274733
449,-11715027,3274842
450,-11713572,3274754
451,-11713572,3274846
452,-11713464,3274754
453,-11713464,3274846
454,-11713364,3274755
455,-11713678,3274845
456,-11714690,3274842
457,-11713099,3274734
458,-11713100,3274845
459,-11714477,3274845
460,-11714111,3274844
461,-11713897,3274844
462,-11713680,3274755
463,-11713008,3274735
464,-11714626,3274796
465,-11714561,3274845
466,-11714520,3274845
467,-11713787,3274845
468,-11713789,3274756
469,-11713051,3274845
470,-11714630,3274758
471,-11714004,3274740
472,-11714498,3274831
473,-11715342,3274742
474,-11714216,3274844
475,-11714218,3274740
476,-11714112,3274740
477,-11713897,3274740
478,-11714373,3274644
479,-11715122,3274744
480,-11714724,3274842
481,-11715528,3274795
482,-11714925,3274841
483,-11714829,3274841
484,-11714926,3274746
485,-11714824,3274642
486,-11714495,3274643
487,-11715527,3274742
488,-11712285,3274743
489,-11714769,3274758
490,-11714629,3274644
491,-11713788,3274741
492,-11713681,3274571
493,-11713363,3274632
494,-11713572,3274573
495,-11713463,3274573
496,-11714929,3274642
497,-11715578,3274695
498,-11715577,3274745
499,-11715122,3274642
500,-11712284,3274557
501,-11712209,3274539
502,-11715343,3274641
503,-11715527,3274693
504,-11712920,3274737
505,-11713791,3274571
506,-11713899,3274556
507,-11712392,3274556
508,-11714113,3274558
509,-11712715,3274557
510,-11712608,3274557
511,-11712500,3274558
512,-11714005,3274560
513,-11714221,3274642
514,-11712819,3274560
515,-11712917,3274629
516,-11713008,3274632
517,-11713098,3274631
518,-11713190,3274631
519,-11713279,3274631
520,-11715578,3274664
521,-11715527,3274643
522,-11712092,3274549
523,-11712164,3274652
524,-11714667,3274606
