Dataset,No. of Nodes,No. of Edges,No. of Districts,Tolerance,Time w Cuts,Objective w Cuts,No_Iterations_w_logic,No_Cuts_w_logic
1,87,113,2,0.08,38.42,39766.76,1.0,0.0
2,87,113,2,0.1,18.96,39766.76,1.0,0.0
3,87,113,2,0.2,20.51,39766.76,1.0,0.0
4,87,113,2,0.3,28.57,39766.76,1.0,0.0
5,87,113,2,1,8.59,39766.76,1.0,0.0
6,87,113,4,0.08,11.53,23892.15,1.0,0.0
7,87,113,4,0.1,20.88,23752.05,1.0,0.0
8,87,113,4,0.2,8.79,23484.41,1.0,0.0
9,87,113,4,0.3,10.54,23357.98,1.0,0.0
10,87,113,4,1,7.5,23340.54,1.0,0.0
11,87,113,6,0.08,5.7,17265.96,1.0,0.0
12,87,113,6,0.1,7.42,17238.5,1.0,0.0
13,87,113,6,0.2,5.39,17189.97,1.0,0.0
14,87,113,6,0.3,6.24,17189.97,1.0,0.0
15,87,113,6,1,9.37,17189.97,1.0,0.0
16,87,113,8,0.08,11.27,13300.2,1.0,0.0
17,87,113,8,0.1,11.11,13300.2,1.0,0.0
18,87,113,8,0.2,8.17,12988.59,1.0,0.0
19,87,113,8,0.3,14.79,12781.97,1.0,0.0
20,87,113,8,1,11.22,12781.97,1.0,0.0
21,87,113,10,0.08,13.26,10560.94,1.0,0.0
22,87,113,10,0.1,13.28,10560.94,1.0,0.0
23,87,113,10,0.2,4.35,9913.38,1.0,0.0
24,87,113,10,0.3,10.71,9760.95,1.0,0.0
25,87,113,10,1,7.85,9746.99,1.0,0.0
26,108,158,2,0.08,43.01,45488.44,1.0,0.0
27,108,158,2,0.1,42.81,45488.44,1.0,0.0
28,108,158,2,0.2,58.02,45488.44,1.0,0.0
29,108,158,2,0.3,60.42,45488.44,1.0,0.0
30,108,158,2,1,34.67,45488.44,1.0,0.0
31,108,158,4,0.08,29.5,28328.57,1.0,0.0
32,108,158,4,0.1,20.18,28152.78,1.0,0.0
33,108,158,4,0.2,38.84,27984.69,1.0,0.0
34,108,158,4,0.3,27.11,27693.11,1.0,0.0
35,108,158,4,1,22.78,27662.65,1.0,0.0
36,108,158,6,0.08,28.65,20788.11,1.0,0.0
37,108,158,6,0.1,20.8,20673.76,1.0,0.0
38,108,158,6,0.2,25.18,20277.02,1.0,0.0
39,108,158,6,0.3,46.5,19778.49,2.0,2.0
40,108,158,6,1,15.36,19549.89,1.0,0.0
41,108,158,8,0.08,54.0,16481.51,1.0,0.0
42,108,158,8,0.1,20.93,16272.79,1.0,0.0
43,108,158,8,0.2,21.89,15927.51,1.0,0.0
44,108,158,8,0.3,17.29,15760.31,1.0,0.0
45,108,158,8,1,22.84,15755.64,1.0,0.0
46,108,158,10,0.08,12.62,12807.3,1.0,0.0
47,108,158,10,0.1,12.25,12807.3,1.0,0.0
48,108,158,10,0.2,13.33,12570.03,1.0,0.0
49,108,158,10,0.3,8.7,12456.5,1.0,0.0
50,108,158,10,1,7.54,12456.5,1.0,0.0
51,113,153,2,0.08,39.85,61138.47,1.0,0.0
52,113,153,2,0.1,41.28,61138.47,1.0,0.0
53,113,153,2,0.2,49.39,61138.47,1.0,0.0
54,113,153,2,0.3,43.64,61138.47,1.0,0.0
55,113,153,2,1,34.35,61138.47,1.0,0.0
56,113,153,4,0.08,177.16,40058.2,5.0,10.0
57,113,153,4,0.1,26.52,39792.66,1.0,0.0
58,113,153,4,0.2,25.32,38902.22,1.0,0.0
59,113,153,4,0.3,23.94,38861.34,1.0,0.0
60,113,153,4,1,26.85,38846.32,1.0,0.0
61,113,153,6,0.08,16.47,29064.48,1.0,0.0
62,113,153,6,0.1,19.63,28969.15,1.0,0.0
63,113,153,6,0.2,18.45,28778.62,1.0,0.0
64,113,153,6,0.3,24.42,28512.45,1.0,0.0
65,113,153,6,1,13.39,28292.13,1.0,0.0
66,113,153,8,0.08,22.49,22847.06,1.0,0.0
67,113,153,8,0.1,17.14,22623.27,1.0,0.0
68,113,153,8,0.2,6.21,22108.77,1.0,0.0
69,113,153,8,0.3,8.78,21811.51,1.0,0.0
70,113,153,8,1,10.69,21780.6,1.0,0.0
71,113,153,10,0.08,18.58,19200.05,1.0,0.0
72,113,153,10,0.1,14.19,18908.14,1.0,0.0
73,113,153,10,0.2,27.39,18029.4,1.0,0.0
74,113,153,10,0.3,10.19,17445.99,1.0,0.0
75,113,153,10,1,19.38,17106.12,1.0,0.0
76,122,182,2,0.08,93.98,61094.11,1.0,0.0
77,122,182,2,0.1,77.93,61094.11,1.0,0.0
78,122,182,2,0.2,114.38,60902.92,1.0,0.0
79,122,182,2,0.3,93.52,60786.79,1.0,0.0
80,122,182,2,1,87.84,60786.79,1.0,0.0
81,122,182,4,0.08,59.45,35861.51,1.0,0.0
82,122,182,4,0.1,42.51,35753.56,1.0,0.0
83,122,182,4,0.2,37.22,35477.69,1.0,0.0
84,122,182,4,0.3,53.83,35366.26,1.0,0.0
85,122,182,4,1,44.37,35310.6,1.0,0.0
86,122,182,6,0.08,35.83,26617.07,1.0,0.0
87,122,182,6,0.1,56.71,26490.19,1.0,0.0
88,122,182,6,0.2,19.45,25861.82,1.0,0.0
89,122,182,6,0.3,21.72,25823.29,1.0,0.0
90,122,182,6,1,20.19,25823.29,1.0,0.0
91,122,182,8,0.08,49.03,21730.76,1.0,0.0
92,122,182,8,0.1,27.95,21639.25,1.0,0.0
93,122,182,8,0.2,31.08,21213.8,1.0,0.0
94,122,182,8,0.3,18.81,20955.4,1.0,0.0
95,122,182,8,1,19.75,20915.48,1.0,0.0
96,122,182,10,0.08,28.73,17764.93,1.0,0.0
97,122,182,10,0.1,18.17,17580.45,1.0,0.0
98,122,182,10,0.2,29.28,17433.19,1.0,0.0
99,122,182,10,0.3,21.07,17304.29,1.0,0.0
100,122,182,10,1,30.49,17278.75,1.0,0.0
101,130,145,2,0.08,23.03,61602.16,1.0,0.0
102,130,145,2,0.1,27.28,61418.84,1.0,0.0
103,130,145,2,0.2,29.92,61140.62,1.0,0.0
104,130,145,2,0.3,25.14,61087.24,1.0,0.0
