no_nodes
108

Node, X-Coordinate, Y-Coordinate
0,-11725059,3279964
1,-11725085,3280051
2,-11725633,3279933
3,-11725662,3280026
4,-11725833,3279990
5,-11725448,3279973
6,-11725268,3280012
7,-11725241,3279919
8,-11725791,3279897
9,-11725421,3279879
10,-11725029,3279866
11,-11725768,3279902
12,-11725606,3279841
13,-11725212,3279827
14,-11725766,3279897
15,-11725814,3279892
16,-11725789,3279892
17,-11725739,3279814
18,-11725394,3279787
19,-11725001,3279773
20,-11725594,3279805
21,-11725183,3279734
22,-11725703,3279720
23,-11725592,3279798
24,-11725635,3279787
25,-11725576,3279748
26,-11725366,3279693
27,-11724971,3279680
28,-11725548,3279654
29,-11725156,3279643
30,-11725718,3279716
31,-11725665,3279630
32,-11725490,3279667
33,-11725339,3279608
34,-11724945,3279593
35,-11725522,3279566
36,-11725126,3279553
37,-11725658,3279610
38,-11724941,3279580
39,-11725633,3279541
40,-11725678,3279605
41,-11725308,3279513
42,-11725123,3279541
43,-11724912,3279486
44,-11725492,3279471
45,-11725094,3279449
46,-11725644,3279538
47,-11725305,3279501
48,-11725600,3279447
49,-11725456,3279479
50,-11725453,3279468
51,-11725273,3279404
52,-11724882,3279391
53,-11725580,3279439
54,-11725489,3279460
55,-11725459,3279363
56,-11725065,3279352
57,-11725594,3279347
58,-11725595,3279436
59,-11725573,3279339
60,-11725247,3279310
61,-11724853,3279298
62,-11725430,3279269
63,-11725034,3279262
64,-11725551,3279244
65,-11725220,3279219
66,-11724826,3279215
67,-11725518,3279251
68,-11725377,3279094
69,-11725011,3279174
70,-11725503,3279206
71,-11725536,3279171
72,-11725193,3279137
73,-11725355,3279191
74,-11724805,3279156
75,-11724903,3279199
76,-11725479,3279211
77,-11725495,3279180
78,-11724849,3279145
79,-11724987,3279179
80,-11725487,3279155
81,-11725007,3279101
82,-11725531,3279146
83,-11725466,3279160
84,-11725441,3279078
85,-11724846,3279134
86,-11725510,3279150
87,-11725514,3279060
88,-11725175,3279085
89,-11725265,3279120
90,-11725006,3279093
91,-11725260,3279104
92,-11725039,3279065
93,-11725057,3279110
94,-11725317,3279093
95,-11725360,3279042
96,-11725291,3278986
97,-11725037,3279058
98,-11725334,3279090
99,-11725347,3279073
100,-11725467,3279071
101,-11725451,3279021
102,-11725493,3278969
103,-11725346,3278999
104,-11725442,3278980
105,-11725338,3278971
106,-11725460,3278977
107,-11725453,3278949

no_edges
158

Node Adjacency List
Node 1, Node 2,
0,1,
2,3,
2,5,
4,3,
5,6,
7,6,
7,0,
8,4,
9,5,
9,7,
10,0,
11,2,
12,2,
12,9,
13,7,
13,10,
14,11,
15,8,
16,8,
16,14,
17,14,
17,16,
17,12,
18,9,
18,13,
19,10,
20,12,
21,13,
21,19,
22,17,
22,25,
23,20,
24,23,
25,23,
25,18,
26,18,
26,21,
27,19,
28,25,
28,32,
29,21,
29,27,
30,22,
31,22,
31,28,
32,26,
33,26,
33,29,
34,27,
35,28,
35,33,
36,29,
36,34,
37,31,
38,34,
39,37,
39,35,
40,37,
41,33,
41,36,
42,38,
42,36,
43,38,
44,35,
44,49,
45,42,
45,43,
46,39,
47,42,
47,41,
48,39,
49,41,
50,47,
51,47,
51,45,
52,43,
53,44,
53,54,
54,44,
54,50,
55,54,
55,51,
56,45,
56,52,
57,48,
58,48,
58,53,
59,58,
59,55,
59,57,
60,51,
60,56,
61,52,
62,55,
62,60,
63,56,
63,61,
64,59,
64,67,
65,60,
65,63,
66,61,
67,62,
68,62,
68,89,
69,63,
69,79,
70,67,
70,76,
71,64,
71,77,
72,65,
72,69,
73,65,
74,66,
75,66,
77,70,
78,75,
79,75,
80,77,
80,83,
81,79,
82,71,
82,86,
84,83,
84,68,
85,74,
85,78,
86,80,
87,82,
87,100,
88,72,
88,93,
89,72,
90,85,
90,81,
91,89,
92,93,
94,91,
95,68,
96,94,
96,103,
97,90,
97,92,
98,94,
99,98,
100,84,
101,100,
101,95,
102,87,
102,106,
103,95,
104,101,
104,103,
105,103,
106,104,
107,106,
107,105,
