Dataset,No. of Nodes,No. of Edges,No. of Districts,Tolerance,Time wo Cuts,Time w Cuts,Objective Function wo Cuts,Objective w Cuts,No_Iterations_wo_logic,No_Cuts_wo_logic,No_Iterations_w_logic,No_Cuts_w_logic
1,87,113,2,0.08,44.67,22.08,39766.76,39766.76,1,0,1,0
2,87,113,2,0.1,21.74,15.75,39766.76,39766.76,1,0,1,0
3,87,113,2,0.2,40.43,26.55,39766.76,39766.76,1,0,1,0
4,87,113,2,0.3,42.82,31.51,39766.76,39766.76,1,0,1,0
5,87,113,2,1,30.25,14.75,39766.76,39766.76,1,0,1,0
6,87,113,4,0.08,19,8.82,23892.15,23892.15,1,0,1,0
7,87,113,4,0.1,21.08,6.42,23752.05,23752.05,1,0,1,0
8,87,113,4,0.2,25.63,9.84,23484.41,23484.41,1,0,1,0
9,87,113,4,0.3,29.94,12.9,23357.98,23357.98,1,0,1,0
10,87,113,4,1,30.22,10.34,23340.54,23340.54,1,0,1,0
11,87,113,6,0.08,18.2,7.52,17265.96,17265.96,1,0,1,0
12,87,113,6,0.1,19.65,3.59,17238.5,17238.5,1,0,1,0
13,87,113,6,0.2,19.57,5.57,17189.97,17189.97,1,0,1,0
14,87,113,6,0.3,32.73,7.06,17189.97,17189.97,1,0,1,0
15,87,113,6,1,28.64,9.43,17189.97,17189.97,1,0,1,0
16,87,113,8,0.08,18.81,17.31,13300.2,13300.2,1,0,1,0
17,87,113,8,0.1,18.67,17.8,13300.2,13300.2,1,0,1,0
18,87,113,8,0.2,31.1,9.55,12988.59,12988.59,1,0,1,0
19,87,113,8,0.3,21.93,10.35,12781.97,12781.97,1,0,1,0
20,87,113,8,1,27.77,9.9,12781.97,12781.97,1,0,1,0
21,87,113,10,0.08,17.25,13.36,10557.47,10557.47,1,0,1,0
22,87,113,10,0.1,17.52,13.36,10557.47,10557.47,1,0,1,0
23,87,113,10,0.2,9.46,4.25,9913.38,9913.38,1,0,1,0
24,87,113,10,0.3,11.31,17.17,9760.95,9760.95,1,0,1,0
25,87,113,10,1,14.5,6.92,9746.99,9746.99,1,0,1,0
26,108,158,2,0.08,69.47,37.84,45488.44,45488.44,1,0,1,0
27,108,158,2,0.1,68.69,44.83,45488.44,45488.44,1,0,1,0
28,108,158,2,0.2,106.36,54.61,45488.44,45488.44,1,0,1,0
